ID_INSTITUCION,ID_SEDE,NOMBRE_INSTITUCION_CORREGIDO,NOMBRE_SEDE_CORREGIDO
8897,8897,UNIVERSIDAD EIA,UNIVERSIDAD EIA-ENVIGADO
8910,8910,FUNDACIÓN UNIVERSITARIA AUTONOMA DE LAS AMÉRICAS,INSTITUCIÓN UNIVERSITARIA VISIÓN DE LAS AMÉRICAS-MEDELLIN
8914,-1,UNIVERSIDAD CES,SIN_DATO
8914,8914,UNIVERSIDAD CES,UNIVERSIDAD CES-MEDELLIN
8964,33843,UNIVERSIDAD NACIONAL DE COLOMBIA,UNIVERSIDAD NACIONAL DE COLOMBIA -LA PAZ
9031,-1,FUNDACIÓN UNIVERSITARIA COMPENSAR,SIN_DATO
9031,9031,FUNDACIÓN UNIVERSITARIA COMPENSAR,FUNDACIÓN UNIVERSITARIA COMPENSAR
9072,-1,ESEIT ESCUELA SUPERIOR DE EMPRESA - INGENIERÍA Y TECNOLOGÍA,SIN_DATO
9072,9072,ESEIT ESCUELA SUPERIOR DE EMPRESA - INGENIERÍA Y TECNOLOGÍA,ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS - TECNÓLOGOS Y EMPRESARIOS-BOGOTÁ D.C.
9088,-1,INSTITUCIÓN UNIVERSITARIA MAYOR DE CARTAGENA,SIN_DATO
9088,9088,INSTITUCIÓN UNIVERSITARIA MAYOR DE CARTAGENA,INSTITUCIÓN UNIVERSITARIA MAYOR DE CARTAGENA
9160,-1,INSTITUCIÓN UNIVERSITARIA EAM QUINDIO-ARMENIA,SIN_DATO
9160,9160,INSTITUCIÓN UNIVERSITARIA EAM QUINDIO-ARMENIA,INSTITUCIÓN UNIVERSITARIA EAM QUINDIO-ARMENIA
9175,9175,CORPORACIÓN UNIVERSITARIA DE INVESTIGACIÓN Y DESARROLLO -,UNIVERSIDAD DE INVESTIGACIÓN Y DESARROLLO - UDI - BUCARAMANGA
9243,-1,UNIVERSIDAD INTERNACIONAL DEL TRÓPICO AMERICANO,SIN_DATO
9243,9243,UNIVERSIDAD INTERNACIONAL DEL TRÓPICO AMERICANO,UNIVERSIDAD INTERNACIONAL DEL TRÓPICO AMERICANO
